City,City_ID,Latitude,Longitutde,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Albany,5106841,42.6001,-73.9662,US,12.07,91,77,2.28,2022-03-20 02:53:07
Cherskiy,2126199,68.75,161.3,RU,-9.2,83,12,5.8,2022-03-20 02:43:47
Vardø,777019,70.3705,31.1107,NO,1.37,69,75,13.67,2022-03-20 02:49:12
Adrar,2381972,20.5022,-10.0711,MR,19.82,23,49,3.83,2022-03-20 02:43:49
Avarua,4035715,-21.2078,-159.775,CK,28.03,69,51,2.57,2022-03-20 02:43:50
Gizo Government Station,2108857,-8.103,156.8419,SB,30.37,65,71,3.68,2022-03-20 02:43:50
Puerto Madero,3520989,14.7208,-92.4215,MX,26.11,89,20,0.0,2022-03-20 02:43:51
Kapaa,5848280,22.0752,-159.319,US,26.99,73,20,5.14,2022-03-20 02:43:52
East London,1006984,-33.0153,27.9116,ZA,20.36,85,13,1.16,2022-03-20 02:42:09
Neepawa,6086673,50.2289,-99.4664,CA,1.22,97,57,0.55,2022-03-20 02:43:54
Dikson,1507390,73.5069,80.5464,RU,-13.61,97,100,0.52,2022-03-20 02:43:55
Rio Grande,3451138,-32.035,-52.0986,BR,14.41,64,79,7.5,2022-03-20 02:43:56
Carnarvon,2074865,-24.8667,113.6333,AU,28.04,74,75,6.69,2022-03-20 02:41:57
Banjar,1650232,-8.19,114.9675,ID,28.88,79,95,0.89,2022-03-20 02:43:58
New Norfolk,2155415,-42.7826,147.0587,AU,21.07,44,100,0.98,2022-03-20 02:43:58
Araouane,2460954,18.9048,-3.5265,ML,22.92,16,1,4.01,2022-03-20 02:43:59
Yuanping,1786060,38.7153,112.7575,CN,6.41,40,92,1.58,2022-03-20 02:44:00
George Town,1735106,5.4112,100.3354,MY,30.96,82,20,1.54,2022-03-20 02:40:02
Khatanga,2022572,71.9667,102.5,RU,-12.47,96,99,3.31,2022-03-20 02:44:01
Port Alfred,964432,-33.5906,26.891,ZA,21.58,87,17,1.91,2022-03-20 02:44:02
Sabang,1214026,5.8933,95.3214,ID,26.69,81,100,9.22,2022-03-20 02:44:03
Hobart,2163355,-42.8794,147.3294,AU,21.26,64,75,2.06,2022-03-20 02:48:35
Viedma,3832899,-40.8135,-62.9967,AR,10.87,63,97,5.44,2022-03-20 02:44:05
