City,Latitude,Longitutde,Country,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Bredasdorp,-34.5322,20.0403,ZA,19.78,89,9,2.86,1647731700
Rikitea,-23.1203,-134.9692,PF,26.87,73,17,3.43,1647731654
Ushuaia,-54.8,-68.3,AR,9.81,50,40,5.66,1647731657
Najrān,17.4924,44.1277,SA,16.92,25,0,0.53,1647731703
Igarka,67.4667,86.5833,RU,-7.39,96,100,4.87,1647731704
Buraidah,26.326,43.975,SA,19.89,12,0,6.78,1647731667
Airai,-8.9266,125.4092,TL,17.32,83,94,0.92,1647731706
Mazatlán,23.2167,-106.4167,MX,26.98,60,20,6.17,1647731706
Sur,22.5667,59.5289,OM,23.67,50,0,2.7,1647731707
Saint-Philippe,-21.3585,55.7679,RE,24.51,89,93,2.41,1647731679
Bluff,-46.6,168.3333,NZ,16.56,76,45,3.74,1647731647
Pringsewu,-5.3582,104.9744,ID,22.8,96,100,0.41,1647731710
New Norfolk,-42.7826,147.0587,AU,14.84,52,100,0.53,1647731636
Mataura,-46.1927,168.8643,NZ,16.38,60,42,0.59,1647731712
Hong Kong,22.2855,114.1577,HK,22.2,91,91,7.15,1647731521
Marrakesh,31.6315,-8.0083,MA,17.04,72,99,3.6,1647731713
Mahanje,-9.9333,35.3333,TZ,18.31,98,100,0.8,1647731715
Praia da Vitória,38.7333,-27.0667,PT,11.53,93,20,2.94,1647731715
Pochutla,15.7432,-96.4661,MX,31.01,44,5,3.06,1647731716
Atuona,-9.8,-139.0333,PF,25.65,78,8,5.12,1647731717
Namatanai,-3.6667,152.4333,PG,29.34,63,63,4.9,1647731718
Itoman,26.1247,127.6694,JP,20.01,74,75,3.6,1647731483
Port Hedland,-20.3167,118.5667,AU,26.03,83,9,3.09,1647731720
Hermanus,-34.4187,19.2345,ZA,22.11,86,14,4.68,1647731721
Navalmoral de la Mata,39.8916,-5.5406,ES,13.87,67,100,5.54,1647731723
Albany,42.6001,-73.9662,US,15.4,82,100,0.45,1647731724
Busselton,-33.65,115.3333,AU,17.46,71,100,1.97,1647731670
Butaritari,3.0707,172.7902,KI,26.92,82,28,8.47,1647731649
Mahébourg,-20.4081,57.7,MU,25.7,94,40,0.0,1647731726
Kieta,-6.2167,155.6333,PG,28.63,74,70,2.67,1647731727
Kongolo,-5.3833,27.0,CD,20.83,96,99,1.51,1647731729
Auki,-8.7676,160.7034,SB,29.68,62,99,1.51,1647731731
Acaraú,-2.8856,-40.12,BR,26.19,81,100,3.69,1647731654
Bambous Virieux,-20.3428,57.7575,MU,25.68,94,40,0.0,1647731733
Fortuna,40.5982,-124.1573,US,12.19,80,100,9.77,1647731733
Cherskiy,68.75,161.3,RU,-13.49,80,60,6.17,1647731734
Ribeira Grande,38.5167,-28.7,PT,14.06,65,89,6.2,1647731735
Pāsighāt,28.0667,95.3333,IN,22.18,40,7,1.57,1647731661
Yar-Sale,66.8333,70.8333,RU,-3.88,82,56,7.95,1647731736
